"","city","link","lat","long","city_id","city_size","county"
"136","Hildesheim","https://www.flixbus.de/fernbus/hildesheim",52.149715,2.149715,129,"101.990","Niedersachsen
"
"139","Hof","https://www.flixbus.de/fernbus/hof",50.308397,1.924546,110,"45.930","Bayern
"
"141","Homburg","https://www.flixbus.de/fernbus/homburg",49.327597,9.327597,471,"41.811","Saarland
"
"142","Hoyerswerda","https://www.flixbus.de/fernbus/hoyerswerda",51.43886,1.43886,345,"32.658","Sachsen
"
"144","Ingolstadt","https://www.flixbus.de/fernbus/ingolstadt",48.758363,8.758363,479,"136.981","Bayern
"
"146","Itzehoe","https://www.flixbus.de/fernbus/itzehoe",53.931775,3.931775,826,"31.879","Schleswig-Holstein
"
"147","Jena","https://www.flixbus.de/fernbus/jena",50.906927,1.590522,484,"111.407","ThÃ¼ringen
"
"149","Kaiserslautern","https://www.flixbus.de/fernbus/kaiserslautern",49.436536,9.436536,174,"99.845","Rheinland-Pfalz
"
"150","Kaltenkirchen","https://www.flixbus.de/fernbus/kaltenkirchen",53.843998,3.843998,961,"21.813","Schleswig-Holstein
"
"151","Karlsruhe","https://www.flixbus.de/fernbus/karlsruhe",48.991468,8.991468,109,"313.092","Baden-WÃ¼rttemberg
"
"152","Kassel","https://www.flixbus.de/fernbus/kassel",51.303273,1.303273,491,"201.585","Hessen
"
"153","Kehl","https://www.flixbus.de/fernbus/kehl",48.576578,8.576578,105,"36.089","Baden-WÃ¼rttemberg
"
"155","Kiel","https://www.flixbus.de/fernbus/kiel",54.310865,4.310865,498,"247.548","Schleswig-Holstein
"
"157","Koblenz","https://www.flixbus.de/fernbus/koblenz",50.349442,7.589689,135,"114.024","Rheinland-Pfalz
"
"158","Konstanz","https://www.flixbus.de/fernbus/konstanz",47.674693,7.674693,90,"84.760","Baden-WÃ¼rttemberg
"
"159","Korbach","https://www.flixbus.de/fernbus/korbach",51.277406,1.277406,508,"23.581","Hessen
"
"160","Krefeld","https://www.flixbus.de/fernbus/krefeld",51.324327,1.324327,509,"227.020","Nordrhein-Westfalen
"
"161","KÃ¶ln","https://www.flixbus.de/fernbus/koeln",50.935933,6.958693,107,"1.085.664","Nordrhein-Westfalen
"
"166","Leer","https://www.flixbus.de/fernbus/leer",53.235657,3.235657,530,"34.486","Niedersachsen
"
"167","Leipzig","https://www.flixbus.de/fernbus/leipzig",51.367887,1.367887,113,"587.857","Sachsen
"
