"","V1","V2","generated_from"
"566","Bad Oeynhausen","Paris - Flughafen Charles-de-Gaulle",279
"567","Bad Oeynhausen","Dresden",279
"568","Frankfurt Flughafen","Bad Oeynhausen",279
"569","Bad Oeynhausen","Enschede",279
"570","Stuttgart","Bad Oeynhausen",279
"571","Bad Oeynhausen","GieÃŸen",279
"572","Bad Oeynhausen","Nordhorn",279
"573","Bad Oeynhausen","Prag",279
"574","Bad Oeynhausen","Arnheim",279
"575","Bad Oeynhausen","Nijmegen",279
"576","Bad Oeynhausen","Eindhoven",279
"577","Darmstadt","Bad Oeynhausen",279
"578","Bad Oeynhausen","Lille",279
"579","Karlsruhe","Bad Oeynhausen",279
"580","Bad Oeynhausen","Paris",279
"581","Leipzig","Bad Oeynhausen",279
"582","Hildesheim","Bad Oeynhausen",279
"583","Braunschweig","Bad Oeynhausen",279
"584","Start","End",235
"585","Berlin","Bad Schandau",235
"586","Start","End",286
"587","Bad Segeberg","Flensburg",286
"588","Bad Segeberg","Wismar",286
"589","Bad Segeberg","Kolding",286
"590","Bad Segeberg","Vejle",286
"591","Bad Segeberg","Aarhus",286
"592","Bad Segeberg","Greifswald",286
"593","Rostock","Bad Segeberg",286
"594","Start","End",381
"595","Ulm","Bad Urach",381
"596","MÃ¼nchen","Bad Urach",381
"597","Freiburg","Bad Urach",381
"598","Titisee-Neustadt","Bad Urach",381
"599","Augsburg","Bad Urach",381
"600","GÃ¼nzburg (Legoland)","Bad Urach",381
"601","Start","End",289
"602","MÃ¼nchen","Bad WÃ¶rishofen",289
"603","Bad WÃ¶rishofen","Engen",289
"604","Meersburg","Bad WÃ¶rishofen",289
"605","Freiburg","Bad WÃ¶rishofen",289
"606","Titisee-Neustadt","Bad WÃ¶rishofen",289
"607","Bad WÃ¶rishofen","Stockach",289
"608","Bad WÃ¶rishofen","Ãœberlingen",289
"609","Bad WÃ¶rishofen","Leutkirch",289
"610","Bad WÃ¶rishofen","Wangen",289
"611","Bad WÃ¶rishofen","Ravensburg",289
"612","Bad WÃ¶rishofen","Markdorf",289
"613","Start","End",146
"614","Mannheim","Bad Zwesten",146
"615","Karlsruhe","Bad Zwesten",146
"616","Hamburg","Bad Zwesten",146
"617","Braunschweig","Bad Zwesten",146
"618","GÃ¶ttingen","Bad Zwesten",146
"619","Hannover","Bad Zwesten",146
"620","Magdeburg","Bad Zwesten",146
"621","GieÃŸen","Bad Zwesten",146
"622","Bad Zwesten","Soltau",146
"623","Darmstadt","Bad Zwesten",146
"624","Berlin","Bad Zwesten",146
"625","Frankfurt Flughafen","Bad Zwesten",146
"626","ZÃ¼rich","Bad Zwesten",146
"627","Freiburg","Bad Zwesten",146
"628","Frankfurt","Bad Zwesten",146
"629","Heidelberg","Bad Zwesten",146
"630","LÃ¶rrach","Bad Zwesten",146
"631","Start","End",291
"632","StraÃŸburg","Baden-Baden",291
"633","Stuttgart","Baden-Baden",291
"634","Berlin","Baden-Baden",291
"635","Frankfurt","Baden-Baden",291
"636","Freiburg","Baden-Baden",291
"637","Mannheim","Baden-Baden",291
"638","MÃ¼nchen","Baden-Baden",291
"639","Heidelberg","Baden-Baden",291
"640","TÃ¼bingen","Baden-Baden",291
"641","Heilbronn","Baden-Baden",291
"642","Darmstadt","Baden-Baden",291
"643","Augsburg","Baden-Baden",291
"644","Baden-Baden","Hinterzarten",291
"645","Baden-Baden","Nancy",291
"646","Baden-Baden","Karlsbad",291
"647","WÃ¼rzburg","Baden-Baden",291
"648","Baden-Baden","Villach",291
"649","Bayreuth","Baden-Baden",291
"650","Frankfurt Flughafen","Baden-Baden",291
"651","Baden-Baden","Paris",291
"652","Bamberg","Baden-Baden",291
"653","Baden-Baden","Salzburg",291
"654","NÃ¼rnberg","Baden-Baden",291
"655","Baden-Baden","Pilsen",291
"656","Chemnitz","Baden-Baden",291
"657","Baden-Baden","Ljubljana",291
"658","Baden-Baden","Dresden",291
"659","Braunschweig","Baden-Baden",291
"660","Baden-Baden","MÃ¼nchen-Flughafen",291
"661","Baden-Baden","Zwickau",291
"662","GÃ¶ttingen","Baden-Baden",291
"663","Baden-Baden","Ulm",291
"664","Baden-Baden","Plauen",291
"665","Erlangen","Baden-Baden",291
"666","Magdeburg","Baden-Baden",291
"667","Baden-Baden","GieÃŸen",291
"668","Baden-Baden","Villingen-Schwenningen",291
"669","Baden-Baden","Schweinfurt",291
"670","Baden-Baden","Donaueschingen",291
"671","Baden-Baden","Prag",291
"672","Baden-Baden","Marburg",291
"673","Baden-Baden","Basel/Weil am Rhein",291
"674","Titisee-Neustadt","Baden-Baden",291
"675","Baden-Baden","Zagreb",291
"676","Baden-Baden","Riegel am Kaiserstuhl",291
"677","Baden-Baden","Basel Euroairport",291
"678","Start","End",149
"679","Bamberg","Ulm",149
"680","MÃ¼nchen","Bamberg",149
"681","Hamburg","Bamberg",149
"682","Bayreuth","Bamberg",149
"683","Berlin","Bamberg",149
"684","Frankfurt","Bamberg",149
"685","Leipzig","Bamberg",149
"686","Bamberg","Erfurt",149
"687","KÃ¶ln","Bamberg",149
"688","Bamberg","Halle",149
"689","Hannover","Bamberg",149
"690","Bamberg","Jena",149
"691","Bamberg","Prag",149
"692","Bamberg","Bremen",149
"693","Bamberg","Dresden",149
"694","DÃ¼sseldorf","Bamberg",149
"695","Bamberg","Ingolstadt",149
"696","Bamberg","Amsterdam",149
"697","Augsburg","Bamberg",149
"698","Bamberg","TÃ¼bingen",149
"699","Heidelberg","Bamberg",149
"700","Mannheim","Bamberg",149
"701","Karlsruhe","Bamberg",149
"702","GÃ¶ttingen","Bamberg",149
"703","Bamberg","MÃ¼nchen-Flughafen",149
"704","Bamberg","Kassel",149
"705","Bamberg","Chemnitz",149
"706","Freiburg","Bamberg",149
"707","Bamberg","Weimar",149
"708","Bamberg","Bielefeld",149
"709","Bamberg","Duisburg",149
"710","Bamberg","Memmingen",149
"711","Nordhausen","Bamberg",149
"712","Bamberg","Baden-Baden",149
"713","Bochum","Bamberg",149
"714","Bamberg","Pforzheim",149
"715","Essen","Bamberg",149
"716","Bamberg","Bautzen",149
"717","Bamberg","Paderborn",149
"718","Bamberg","Breslau",149
"719","Bamberg","Utrecht",149
"720","Bamberg","OsnabrÃ¼ck",149
"721","Bamberg","Zwickau",149
"722","Bamberg","Isselburg",149
"723","Bamberg","BischofsgrÃ¼n",149
"724","Bamberg","Pilsen",149
"725","Bamberg","Marktredwitz",149
"726","Bamberg","Soltau",149
"727","Bamberg","Cheb",149
"728","Bamberg","Flughafen Memmingen",149
"729","Zella-Mehlis (Suhl/Oberhof)","Bamberg",149
"730","Bamberg","Schleiz",149
"731","Bamberg","Karlsbad",149
"732","Frankfurt Flughafen","Bamberg",149
"733","Bamberg","Neckarsulm",149
"734","Osterode","Bamberg",149
"735","Bamberg","Kempten",149
"736","Stuttgart","Bamberg",149
"737","Heilbronn","Bamberg",149
"738","Hildesheim","Bamberg",149
"739","Bamberg","Homburg",149
"740","Bamberg","Magdeburg",149
"741","Herzberg","Bamberg",149
"742","Kehl","Bamberg",149
"743","Bamberg","Hof",149
